ID,Gender,Age,Education,SN1,SN2,SN3,SN4,ATT1,ATT2,ATT3,ATT4,PBC1,PBC2,PBC3,PBC4,INT1,INT2,INT3,INT4,BEH1,BEH2,BEH3,BEH4
1,Female,38,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,3,3
2,Male,37,4,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1
3,Male,53,1,2,1,2,2,3,3,2,3,4,4,3,4,3,3,2,3,4,3,3,4
4,Female,53,2,3,2,3,3,4,4,4,5,2,2,2,2,3,4,3,3,3,2,3,3
5,Female,50,3,2,3,2,2,2,2,2,2,3,2,3,3,3,2,2,2,3,3,3,3
6,Female,29,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3
7,Female,38,3,3,3,4,4,2,1,2,2,2,2,3,2,2,2,2,3,3,2,2,3
8,Female,20,2,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4
9,Female,23,1,1,3,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1
10,Female,47,2,4,4,4,4,3,3,3,3,4,3,4,4,3,4,3,3,3,4,4,4
11,Female,58,4,4,4,4,4,4,4,4,4,2,3,3,3,5,4,4,4,3,4,4,3
12,Female,48,4,3,3,4,3,4,4,5,4,3,3,3,3,4,4,4,3,4,4,3,4
13,Male,59,2,4,4,5,5,2,3,2,2,1,2,1,1,2,2,3,3,3,2,3,2
14,Female,21,1,2,1,2,2,4,3,3,3,1,2,2,2,3,2,2,2,3,2,2,2
15,Male,59,2,2,1,2,1,2,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2
16,Female,60,1,2,2,2,2,4,4,4,4,2,2,2,2,3,4,3,3,3,3,3,3
17,Male,24,2,2,3,3,2,3,2,2,2,3,3,3,4,3,2,2,3,3,2,2,3
18,Female,55,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2
19,Female,57,4,4,4,5,4,2,2,2,2,3,3,4,3,3,3,4,3,2,2,2,3
20,Male,27,2,2,2,2,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2,2,2
21,Female,39,1,3,3,3,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2
22,Male,24,4,3,3,3,2,3,3,4,3,4,3,3,3,4,4,4,3,3,3,2,3
23,Male,57,1,2,2,2,2,5,4,5,5,2,2,2,2,3,3,3,3,3,3,2,3
24,Male,52,2,4,4,4,4,5,5,5,5,4,4,4,4,5,5,5,5,4,4,5,4
25,Female,43,4,2,2,2,2,1,2,1,2,4,4,4,3,2,3,3,3,3,3,3,3
26,Male,23,1,1,1,2,1,4,4,4,4,3,3,2,3,2,2,2,3,2,2,3,2
27,Male,46,2,3,3,3,3,1,2,2,2,3,3,3,3,3,2,2,2,3,4,3,3
28,Male,36,2,5,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4
29,Male,20,4,3,3,3,3,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,3
30,Female,18,1,1,1,1,1,3,4,4,3,3,4,4,4,3,3,3,3,4,3,4,3
31,Male,19,1,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
32,Female,34,2,2,1,2,1,2,3,3,2,4,3,3,3,3,3,3,2,3,3,3,3
33,Female,25,3,3,3,4,4,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
34,Female,39,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2
35,Female,31,4,2,2,2,2,3,3,3,4,3,3,3,3,2,2,2,3,3,2,3,3
36,Female,44,1,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,3,3
37,Female,21,3,4,4,3,3,4,3,4,4,3,4,4,4,3,4,3,4,3,4,4,4
38,Female,56,2,4,4,5,4,2,2,2,2,3,3,2,3,3,3,3,2,3,3,3,2
39,Female,20,2,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3
40,Female,23,1,2,2,2,2,2,1,2,1,4,4,4,4,2,2,2,2,3,2,3,3
41,Female,59,1,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
42,Female,29,2,4,3,4,4,3,3,3,3,3,4,3,4,4,4,3,3,3,4,4,3
43,Male,55,3,5,4,5,5,3,3,4,3,3,3,3,2,3,4,4,4,4,3,3,3
44,Female,48,3,4,4,5,5,2,2,2,2,4,3,4,3,3,3,3,3,3,3,3,2
45,Female,43,4,3,4,4,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3
46,Male,33,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,1,2,2,2
47,Male,23,3,3,3,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4
48,Female,30,1,2,3,2,2,4,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3
49,Male,39,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2
50,Female,52,2,3,2,2,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
51,Female,41,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3
52,Female,23,2,3,2,3,2,3,3,3,3,1,1,1,1,2,1,2,2,2,1,2,1
53,Female,25,3,3,3,3,3,4,4,4,3,1,2,2,2,3,3,3,3,3,3,3,3
54,Female,35,2,4,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,4
55,Female,47,1,3,3,3,3,3,4,3,4,3,2,4,2,4,3,4,4,3,3,3,4
56,Female,28,2,3,3,3,3,3,2,3,3,4,4,4,5,4,4,3,3,4,4,4,3
57,Male,38,1,4,4,4,4,3,3,3,4,4,4,4,3,4,4,5,4,4,3,4,3
58,Male,18,3,3,4,4,4,3,3,3,3,4,4,4,4,3,3,4,4,3,4,4,4
59,Male,40,3,3,4,3,3,3,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3
60,Female,31,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2
61,Male,59,1,2,2,1,2,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3
62,Male,35,4,3,2,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
63,Female,39,1,2,2,1,2,4,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4
64,Male,21,1,1,1,2,1,3,3,3,2,4,3,4,4,2,2,2,2,3,3,3,3
65,Female,55,1,4,3,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3
66,Female,56,4,3,4,4,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4
67,Male,34,3,2,2,2,2,1,2,2,2,3,2,3,3,2,3,2,2,2,2,3,2
68,Male,54,4,5,5,4,5,4,3,4,4,1,2,2,2,3,4,4,3,3,3,4,3
69,Female,29,2,3,2,2,2,4,4,4,4,3,2,2,2,3,2,3,3,3,2,3,2
70,Male,25,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,3,3,2,3
71,Female,35,2,2,2,3,2,5,5,4,5,2,1,1,1,3,3,3,3,3,2,3,3
72,Male,33,2,4,4,4,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4
73,Male,41,1,2,2,1,2,4,4,4,3,4,3,4,3,3,3,3,3,3,4,4,3
74,Female,32,1,2,1,2,2,2,2,2,3,4,4,4,4,3,2,2,3,2,2,3,3
